order_id,cus_first_name,cus_last_name,city,state,order_date,product_name,category_name,brand_name,store_name,sales_first_name,sales_last_name,quantity,revenue,pelanggan,pelanggan2,pelanggan3,sales,sales2,sales3
1,Johnathan,Velazquez,Pleasanton,CA,2016-01-01,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya,Copeland,2,1199.98,Johnathan Velazquez,Johnathan Velazquez,Johnathan Velazquez,Mireya Copeland,Mireya Copeland,Mireya Copeland
1,Johnathan,Velazquez,Pleasanton,CA,2016-01-01,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya,Copeland,1,599.99,Johnathan Velazquez,Johnathan Velazquez,Johnathan Velazquez,Mireya Copeland,Mireya Copeland,Mireya Copeland
1,Johnathan,Velazquez,Pleasanton,CA,2016-01-01,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya,Copeland,2,3098.0,Johnathan Velazquez,Johnathan Velazquez,Johnathan Velazquez,Mireya Copeland,Mireya Copeland,Mireya Copeland
1,Johnathan,Velazquez,Pleasanton,CA,2016-01-01,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,1,2899.99,Johnathan Velazquez,Johnathan Velazquez,Johnathan Velazquez,Mireya Copeland,Mireya Copeland,Mireya Copeland
1,Johnathan,Velazquez,Pleasanton,CA,2016-01-01,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,2,3599.98,Johnathan Velazquez,Johnathan Velazquez,Johnathan Velazquez,Mireya Copeland,Mireya Copeland,Mireya Copeland
2,Jaqueline,Cummings,Huntington Station,NY,2016-01-01,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,1199.98,Jaqueline Cummings,Jaqueline Cummings,Jaqueline Cummings,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
2,Jaqueline,Cummings,Huntington Station,NY,2016-01-01,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,599.99,Jaqueline Cummings,Jaqueline Cummings,Jaqueline Cummings,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
3,Joshua,Robertson,Patchogue,NY,2016-01-02,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita,Daniel,1,599.99,Joshua Robertson,Joshua Robertson,Joshua Robertson,Venita Daniel,Venita Daniel,Venita Daniel
3,Joshua,Robertson,Patchogue,NY,2016-01-02,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Venita,Daniel,1,999.99,Joshua Robertson,Joshua Robertson,Joshua Robertson,Venita Daniel,Venita Daniel,Venita Daniel
4,Nova,Hess,Duarte,CA,2016-01-03,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,Santa Cruz Bikes,Genna,Serrano,2,1499.98,Nova Hess,Nova Hess,Nova Hess,Genna Serrano,Genna Serrano,Genna Serrano
